customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3301-VKTGC,Male,0,Yes,Yes,117.05165846079717,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,98.32499999999999,5696.6,0
2877-VDUER,Female,0,Yes,Yes,84.05165846079717,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,No,Mailed check,47.035,1383.6,0
7717-BICXI,Male,0,Yes,Yes,109.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,23.6325,1205.05,0
0562-FGDCR,Female,0,Yes,Yes,121.05165846079717,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),85.73249999999999,5430.65,0
3705-PSNGL,Male,0,No,No,94.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.459999999999997,930.45,1
0048-LUMLS,Male,0,Yes,Yes,86.05165846079717,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,104.88,3247.55,0
6497-TILVL,Female,0,Yes,Yes,56.051658460797164,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),58.305,350.35,0
2108-YKQTY,Female,0,No,No,53.051658460797164,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),58.305,151.3,1
3658-KIBGF,Female,0,No,No,50.051658460797164,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),63.13499999999999,54.9,1
5482-NUPNA,Female,0,No,No,53.051658460797164,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,69.46,272.15,1
7410-KTVFV,Male,0,Yes,No,67.05165846079717,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,56.982499999999995,878.35,1
9033-EOXWV,Female,0,No,No,61.051658460797164,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,85.15749999999998,872.65,1
8821-XNHVZ,Female,0,Yes,Yes,50.051658460797164,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,92.05749999999999,80.05,1
8224-KDLKN,Male,0,Yes,Yes,121.05165846079717,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,28.749999999999996,1738.9,0
4825-FUREZ,Male,0,Yes,No,91.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.287499999999998,835.5,1
7534-BFESC,Male,1,No,No,73.05165846079717,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,87.51499999999999,1712.7,1
9138-EFSMO,Male,0,Yes,Yes,75.05165846079717,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Mailed check,90.79249999999999,2034.25,0
4227-OJHAL,Female,0,Yes,Yes,117.05165846079717,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,83.94999999999999,5163.0,0
7279-NMVJC,Female,0,No,No,66.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.884999999999998,323.15,0
8591-TKMZH,Male,0,Yes,Yes,108.05165846079717,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),127.76499999999999,6555.2,0
9283-LZQOH,Male,0,Yes,Yes,62.051658460797164,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,85.56,896.75,1
3594-IVHJZ,Female,0,No,No,51.051658460797164,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.5175,42.45,0
1945-XISKS,Female,0,Yes,No,116.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,22.597499999999997,1335.2,1
4359-INNWN,Female,0,No,No,66.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),23.057499999999997,337.9,0
7649-SIJJF,Male,0,Yes,No,120.05165846079717,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),92.11499999999998,5585.4,0
9254-RBFON,Female,0,Yes,Yes,66.05165846079717,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,113.38999999999999,1704.95,1
0970-ETWGE,Male,0,No,No,50.051658460797164,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),102.98249999999999,89.55,1
7762-ONLJY,Female,0,Yes,Yes,55.051658460797164,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.654999999999998,94.45,0
6710-HSJRD,Male,0,Yes,No,110.05165846079717,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,131.21499999999997,7132.15,0
8873-GLDMH,Female,0,No,No,55.051658460797164,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),84.92749999999998,401.3,0
9907-SWKKF,Female,1,No,No,50.051658460797164,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,28.807499999999997,25.05,1
4658-HCOHW,Female,0,Yes,Yes,70.05165846079717,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,118.21999999999998,2110.15,1
9330-VOFSZ,Female,0,Yes,No,109.05165846079717,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,127.41999999999999,6640.7,0
2860-RANUS,Female,1,No,No,69.05165846079717,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,98.66999999999999,1727.5,1
6234-PFPXL,Male,0,Yes,No,71.05165846079717,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),110.285,2234.95,0
7205-BAIAD,Female,0,No,No,89.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.69,827.3,0
3858-VOBET,Male,0,No,No,72.05165846079717,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,86.1925,1710.45,0
5103-MHMHY,Female,0,No,Yes,50.051658460797164,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,52.8425,45.95,1
6119-SPUDB,Male,0,No,No,95.05165846079717,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,43.9875,1755.35,0
9389-ACWBI,Female,0,Yes,Yes,54.051658460797164,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,80.4425,320.4,0
3454-JFUBC,Male,1,No,No,117.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,23.0,1396.0,0
1768-ZAIFU,Female,1,No,No,50.051658460797164,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),28.979999999999997,25.2,1
7017-VFULY,Female,0,Yes,No,51.051658460797164,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.115,43.15,0
9221-OTIVJ,Female,1,No,No,63.051658460797164,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),120.57749999999999,1531.4,1
2482-CZGBB,Male,0,No,No,59.051658460797164,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.5,740.0,1
7018-WBJNK,Male,0,No,Yes,62.051658460797164,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.04499999999999,1033.95,0
3331-HQDTW,Female,0,No,No,83.05165846079717,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),126.26999999999998,3587.25,1
4695-VADHF,Male,0,Yes,Yes,67.05165846079717,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),66.0675,990.85,1
4086-WITJG,Male,0,Yes,Yes,120.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,22.654999999999998,1301.1,0
6297-NOOPG,Female,0,Yes,No,119.05165846079717,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),127.07499999999999,7752.05,0
8777-PVYGU,Female,0,Yes,No,101.05165846079717,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,73.945,3410.6,0
4378-MYPGO,Male,0,Yes,Yes,117.05165846079717,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,121.0375,7173.15,0
9313-CDOGY,Male,0,Yes,Yes,87.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.54,717.3,0
4121-AGSIN,Female,0,Yes,Yes,107.05165846079717,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,28.174999999999997,1497.9,0
0432-CAJZV,Male,0,No,No,52.051658460797164,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,104.30499999999999,237.65,0
9097-ZUBYC,Male,0,Yes,No,63.051658460797164,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,56.11999999999999,664.4,0
9638-JIQYA,Male,0,No,No,51.051658460797164,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,28.634999999999994,49.7,0
1024-GUALD,Female,0,Yes,No,50.051658460797164,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),28.52,24.8,1
8024-XNAFQ,Female,1,No,No,121.05165846079717,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),123.50999999999999,7748.75,0
7587-RZNME,Male,0,No,No,52.051658460797164,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.794999999999995,123.65,1
1346-UFHAX,Female,0,No,No,62.051658460797164,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),92.0,1029.35,0
6374-NTQLP,Male,1,Yes,Yes,121.05165846079717,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,119.71499999999999,7447.7,0
6625-FLENO,Male,0,Yes,No,107.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,23.862499999999997,1185.95,0
7375-WMVMT,Male,1,Yes,No,120.05165846079717,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),109.82499999999999,6707.15,0
6910-HADCM,Female,0,No,No,50.051658460797164,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),87.80249999999998,76.35,1
7401-JIXNM,Female,0,Yes,Yes,103.05165846079717,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,104.99499999999999,4965.0,0
7338-ERIVA,Male,0,No,Yes,88.05165846079717,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,One year,No,Credit card (automatic),51.80749999999999,1790.6,0
5376-DEQCP,Female,0,No,No,50.051658460797164,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,81.18999999999998,70.6,1
0909-SELIE,Male,0,Yes,No,110.05165846079717,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),92.91999999999999,4860.85,0
5419-KLXBN,Female,0,Yes,Yes,74.05165846079717,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),102.5225,2257.75,1
0365-TRTPY,Female,0,No,No,86.05165846079717,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,104.88,3382.3,0
6712-OAWRH,Female,1,No,No,75.05165846079717,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.93749999999999,2351.8,1
2428-ZMCTB,Male,0,No,No,59.051658460797164,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.7125,208.25,0
1963-VAUKV,Female,0,No,No,50.051658460797164,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.459999999999997,20.4,0
9381-NDKME,Female,1,Yes,No,73.05165846079717,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,46.747499999999995,933.3,1
3729-OWRVL,Male,1,No,No,114.05165846079717,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,126.90249999999999,7246.15,0
0895-LMRSF,Male,0,No,No,72.05165846079717,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),74.635,1509.8,0
2676-SSLTO,Male,0,No,No,98.05165846079717,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,76.0725,3199.0,1
8495-PRWFH,Female,1,No,No,91.05165846079717,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,63.997499999999995,2421.75,0
9030-QGZNL,Female,0,No,No,57.051658460797164,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),23.9775,161.65,0
9972-NKTFD,Female,0,No,No,77.05165846079717,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),62.8475,1517.5,0
7998-WNZEM,Male,0,No,No,120.05165846079717,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,92.68999999999998,5708.2,0
0979-PHULV,Male,0,Yes,Yes,118.05165846079717,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),114.36749999999999,7007.6,1
6445-TNRXS,Male,0,Yes,Yes,117.05165846079717,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,131.905,7849.85,0
9586-JGQKH,Female,0,Yes,No,113.05165846079717,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,121.21,6794.75,0
3966-HRMZA,Female,1,No,No,52.051658460797164,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),86.30749999999999,202.9,0
5498-IBWPI,Female,0,Yes,Yes,115.05165846079717,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,56.809999999999995,3251.85,0
6823-SIDFQ,Male,0,No,No,77.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.987499999999997,534.7,0
2323-ARSVR,Male,0,Yes,No,116.05165846079717,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,127.70749999999998,7321.05,1
5468-BPMMO,Male,0,Yes,No,95.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.54,851.2,0
0486-HECZI,Male,0,Yes,No,104.05165846079717,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,111.26249999999999,5238.9,1
2178-PMGCJ,Male,0,No,No,71.05165846079717,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.155,1490.4,0
4660-IRIBM,Male,0,Yes,Yes,67.05165846079717,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),101.085,1500.5,0
9674-EHPPG,Male,0,Yes,No,95.05165846079717,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),46.459999999999994,1842.7,1
5606-AMZBO,Female,0,Yes,No,59.051658460797164,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,89.8725,765.15,0
0665-XHDJU,Male,0,Yes,No,121.05165846079717,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,114.31,7285.7,1
5402-HTOTQ,Male,0,No,No,65.05165846079717,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),63.59499999999999,875.35,0
8258-GSTJK,Male,1,No,No,52.051658460797164,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,88.55,237.75,1
